Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,ArraySize,Mean,Error,StdDev,Version,OS,DateTime,SystemTag
Md5Hmac,Job-GEROSC,False,Default,Default,Default,Default,Default,Default,0000000000,Empty,RyuJit,Default,AnyCpu,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,250ms,Default,20,Default,Default,15,Default,Default,16,1,100,"1,133.2",10.50,8.77,1.2.0,macOS 26.6.2,09/08/2026 21:42:10,Not set
Sha1Hmac,Job-GEROSC,False,Default,Default,Default,Default,Default,Default,0000000000,Empty,RyuJit,Default,AnyCpu,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,250ms,Default,20,Default,Default,15,Default,Default,16,1,100,682.2,5.96,5.28,1.2.0,macOS 26.6.2,09/08/2026 21:42:10,Not set
Sha256Hmac,Job-GEROSC,False,Default,Default,Default,Default,Default,Default,0000000000,Empty,RyuJit,Default,AnyCpu,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,250ms,Default,20,Default,Default,15,Default,Default,16,1,100,649.6,5.52,4.89,1.2.0,macOS 26.6.2,09/08/2026 21:42:10,Not set
Sha512Hmac,Job-GEROSC,False,Default,Default,Default,Default,Default,Default,0000000000,Empty,RyuJit,Default,AnyCpu,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,250ms,Default,20,Default,Default,15,Default,Default,16,1,100,"1,110.4",11.70,10.94,1.2.0,macOS 26.6.2,09/08/2026 21:42:10,Not set
TryMd5Hmac,Job-GEROSC,False,Default,Default,Default,Default,Default,Default,0000000000,Empty,RyuJit,Default,AnyCpu,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,250ms,Default,20,Default,Default,15,Default,Default,16,1,100,"1,121.0",18.51,17.31,1.2.0,macOS 26.6.2,09/08/2026 21:42:10,Not set
TrySha1Hmac,Job-GEROSC,False,Default,Default,Default,Default,Default,Default,0000000000,Empty,RyuJit,Default,AnyCpu,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,250ms,Default,20,Default,Default,15,Default,Default,16,1,100,648.9,4.62,4.32,1.2.0,macOS 26.6.2,09/08/2026 21:42:10,Not set
TrySha256Hmac,Job-GEROSC,False,Default,Default,Default,Default,Default,Default,0000000000,Empty,RyuJit,Default,AnyCpu,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,250ms,Default,20,Default,Default,15,Default,Default,16,1,100,616.2,5.64,5.00,1.2.0,macOS 26.6.2,09/08/2026 21:42:10,Not set
TrySha512Hmac,Job-GEROSC,False,Default,Default,Default,Default,Default,Default,0000000000,Empty,RyuJit,Default,AnyCpu,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,250ms,Default,20,Default,Default,15,Default,Default,16,1,100,"1,069.1",10.27,8.58,1.2.0,macOS 26.6.2,09/08/2026 21:42:10,Not set
Md5Hmac,Job-GEROSC,False,Default,Default,Default,Default,Default,Default,0000000000,Empty,RyuJit,Default,AnyCpu,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,250ms,Default,20,Default,Default,15,Default,Default,16,1,10000,"16,328.8",150.62,140.89,1.2.0,macOS 26.6.2,09/08/2026 21:42:10,Not set
Sha1Hmac,Job-GEROSC,False,Default,Default,Default,Default,Default,Default,0000000000,Empty,RyuJit,Default,AnyCpu,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,250ms,Default,20,Default,Default,15,Default,Default,16,1,10000,"4,790.9",58.60,51.95,1.2.0,macOS 26.6.2,09/08/2026 21:42:10,Not set
Sha256Hmac,Job-GEROSC,False,Default,Default,Default,Default,Default,Default,0000000000,Empty,RyuJit,Default,AnyCpu,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,250ms,Default,20,Default,Default,15,Default,Default,16,1,10000,"4,739.5",35.83,31.76,1.2.0,macOS 26.6.2,09/08/2026 21:42:10,Not set
Sha512Hmac,Job-GEROSC,False,Default,Default,Default,Default,Default,Default,0000000000,Empty,RyuJit,Default,AnyCpu,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,250ms,Default,20,Default,Default,15,Default,Default,16,1,10000,"8,215.9",59.92,53.12,1.2.0,macOS 26.6.2,09/08/2026 21:42:10,Not set
TryMd5Hmac,Job-GEROSC,False,Default,Default,Default,Default,Default,Default,0000000000,Empty,RyuJit,Default,AnyCpu,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,250ms,Default,20,Default,Default,15,Default,Default,16,1,10000,"16,247.5",141.25,125.21,1.2.0,macOS 26.6.2,09/08/2026 21:42:10,Not set
TrySha1Hmac,Job-GEROSC,False,Default,Default,Default,Default,Default,Default,0000000000,Empty,RyuJit,Default,AnyCpu,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,250ms,Default,20,Default,Default,15,Default,Default,16,1,10000,"4,749.3",49.27,46.09,1.2.0,macOS 26.6.2,09/08/2026 21:42:10,Not set
TrySha256Hmac,Job-GEROSC,False,Default,Default,Default,Default,Default,Default,0000000000,Empty,RyuJit,Default,AnyCpu,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,250ms,Default,20,Default,Default,15,Default,Default,16,1,10000,"4,693.5",19.60,15.30,1.2.0,macOS 26.6.2,09/08/2026 21:42:10,Not set
