Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,TimeoutDuration,Mean,Error,StdDev,Version,OS,DateTime,SystemTag
ThreadSpinWait,Job-GEROSC,False,Default,Default,Default,Default,Default,Default,0000000000,Empty,RyuJit,Default,AnyCpu,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,250ms,Default,20,Default,Default,15,Default,Default,16,1,2,"2,000,340.884",50.2059,41.9242,1.2.0,macOS 26.6.2,09/08/2026 21:42:10,Not set
ThreadSleep0,Job-GEROSC,False,Default,Default,Default,Default,Default,Default,0000000000,Empty,RyuJit,Default,AnyCpu,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,250ms,Default,20,Default,Default,15,Default,Default,16,1,2,"2,000,520.393",197.4065,184.6541,1.2.0,macOS 26.6.2,09/08/2026 21:42:10,Not set
ThreadSleep,Job-GEROSC,False,Default,Default,Default,Default,Default,Default,0000000000,Empty,RyuJit,Default,AnyCpu,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,250ms,Default,20,Default,Default,15,Default,Default,16,1,2,"2,955,260.266","31,518.5879","27,940.4072",1.2.0,macOS 26.6.2,09/08/2026 21:42:10,Not set
ThreadSleepEnhanced,Job-GEROSC,False,Default,Default,Default,Default,Default,Default,0000000000,Empty,RyuJit,Default,AnyCpu,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,250ms,Default,20,Default,Default,15,Default,Default,16,1,2,"2,942,666.136","21,956.1206","20,537.7689",1.2.0,macOS 26.6.2,09/08/2026 21:42:10,Not set
TaskDelay,Job-GEROSC,False,Default,Default,Default,Default,Default,Default,0000000000,Empty,RyuJit,Default,AnyCpu,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,250ms,Default,20,Default,Default,15,Default,Default,16,1,2,"2,509,794.082","9,423.0835","7,868.7015",1.2.0,macOS 26.6.2,09/08/2026 21:42:10,Not set
TimerWait,Job-GEROSC,False,Default,Default,Default,Default,Default,Default,0000000000,Empty,RyuJit,Default,AnyCpu,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,250ms,Default,20,Default,Default,15,Default,Default,16,1,2,"2,507,619.844","11,000.2067","9,751.3967",1.2.0,macOS 26.6.2,09/08/2026 21:42:10,Not set
AutoResetEvent,Job-GEROSC,False,Default,Default,Default,Default,Default,Default,0000000000,Empty,RyuJit,Default,AnyCpu,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,250ms,Default,20,Default,Default,15,Default,Default,16,1,2,"2,950,932.946","27,032.9262","23,963.9850",1.2.0,macOS 26.6.2,09/08/2026 21:42:10,Not set
ThreadSpinWait,Job-GEROSC,False,Default,Default,Default,Default,Default,Default,0000000000,Empty,RyuJit,Default,AnyCpu,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,250ms,Default,20,Default,Default,15,Default,Default,16,1,5,"5,000,737.023",167.9351,157.0866,1.2.0,macOS 26.6.2,09/08/2026 21:42:10,Not set
ThreadSleep0,Job-GEROSC,False,Default,Default,Default,Default,Default,Default,0000000000,Empty,RyuJit,Default,AnyCpu,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,250ms,Default,20,Default,Default,15,Default,Default,16,1,5,"5,001,046.497",455.6780,380.5118,1.2.0,macOS 26.6.2,09/08/2026 21:42:10,Not set
ThreadSleep,Job-GEROSC,False,Default,Default,Default,Default,Default,Default,0000000000,Empty,RyuJit,Default,AnyCpu,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,250ms,Default,20,Default,Default,15,Default,Default,16,1,5,"7,286,528.183","142,212.4524","133,025.6163",1.2.0,macOS 26.6.2,09/08/2026 21:42:10,Not set
